"","euftf","edlvdie","eduyrs","hinctnta","trstplt","imwbcnt","gndr","agea","brncntr","euftf_re","edu_cat"
"20544",5,3,13,NA,6,0,1,67,1,5,"Junior Cycle"
"20545",8,13,15,3,6,8,2,65,1,2,"Bachelor Degree"
"20546",NA,7,13,3,7,8,2,86,1,NA,"Leaving Certificate"
"20547",6,7,13,NA,3,6,2,42,1,4,"Leaving Certificate"
"20548",NA,4,12,NA,0,5,1,47,1,NA,"Junior Cycle"
"20549",5,2,13,2,0,6,1,61,1,5,"Junior Cycle"
"20550",NA,14,16,NA,5,7,1,20,1,NA,"Bachelor Degree"
"20551",7,15,19,3,7,5,2,62,1,3,"Bachelor Degree"
"20552",0,16,19,NA,3,10,1,51,2,10,"Postgraduate Degree"
"20553",8,17,19,10,4,10,1,46,2,2,"Postgraduate Degree"
"20554",NA,1,5,NA,8,8,2,80,1,NA,"Junior Cycle"
"20555",5,18,NA,4,0,10,2,35,1,5,"Postgraduate Degree"
"20556",1,1,10,1,5,5,1,82,1,9,"Junior Cycle"
"20557",8,6,14,5,0,5,2,35,1,2,"Leaving Certificate"
"20558",7,14,17,7,3,8,1,23,2,3,"Bachelor Degree"
"20559",10,NA,14,NA,NA,10,2,29,2,0,NA
"20560",7,5,12,NA,6,7,1,35,2,3,"Leaving Certificate"
"20561",5,1,6,NA,3,6,2,83,1,5,"Junior Cycle"
"20562",2,12,17,7,4,6,1,42,1,8,"Advanced Certificate"
"20563",NA,13,15,NA,6,4,2,32,1,NA,"Bachelor Degree"
"20564",0,3,9,2,5,0,2,82,1,10,"Junior Cycle"
"20565",6,7,13,7,4,8,1,39,1,4,"Leaving Certificate"
"20566",0,15,16,NA,0,3,1,54,1,10,"Bachelor Degree"
"20567",1,3,16,3,5,5,2,83,1,9,"Junior Cycle"
"20568",5,15,16,7,5,7,1,83,1,5,"Bachelor Degree"
"20569",9,6,16,3,5,10,1,NA,2,1,"Leaving Certificate"
"20570",5,16,NA,NA,2,6,2,73,1,5,"Postgraduate Degree"
"20571",5,3,10,NA,0,4,1,75,1,5,"Junior Cycle"
"20572",3,7,NA,NA,2,10,1,22,2,7,"Leaving Certificate"
"20573",2,4,12,2,0,3,1,NA,1,8,"Junior Cycle"
"20574",9,6,13,NA,NA,10,2,39,2,1,"Leaving Certificate"
"20575",5,8,13,NA,5,10,2,53,1,5,"Leaving Certificate"
"20576",5,7,20,3,1,5,2,44,1,5,"Leaving Certificate"
"20577",8,10,15,7,0,8,1,49,2,2,"Advanced Certificate"
